127.0.0.1 - - [13/Jul/2021:23:20:36 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:20:37 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:20:38 +0700] "GET /trang-chu HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:20:38 +0700] "GET /template/web/css/small-business.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:20:38 +0700] "GET /template/web/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:20:38 +0700] "GET /template/web/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:20:38 +0700] "GET /template/web/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:09 +0700] "GET /dang-nhap HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:09 +0700] "GET /template/login/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:16 +0700] "POST /j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /quan-tri/trang-chu HTTP/1.1" 200 7582
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/ace-extra.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 200 26759
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/sweetalert/sweetalert2.min.js HTTP/1.1" 200 25121
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/ace-elements.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:17 +0700] "GET /template/admin/assets/js/ace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:18 +0700] "GET /template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:23:21:33 +0700] "GET /quan-tri/bai-viet/danh-sach?page=1&limit=2 HTTP/1.1" 500 34198
